Youtuber,subscribers,video views,uploads,Country,channel_type,lowest_yearly_earnings,earnings_midpoint,highest_yearly_earnings
TED,23100000,2551113422.0,4445,United States,Tech,39700.0,337750.0,635800.0
unknown boy varun,23100000,9299371231.0,456,India,Music,912100.0,7756050.0,14600000.0
Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846.0,3781,United States,Music,385300.0,3292650.0,6200000.0
Tsuriki Show,23000000,31494513067.0,2905,Germany,Comedy,2300000.0,19300000.0,36300000.0
Technical Guruji,23000000,3378047383.0,5041,India,Tech,66800.0,583400.0,1100000.0
DrossRotzank,23000000,6041264489.0,1598,Argentina,Entertainment,106600.0,903300.0,1700000.0
White Hill Music,23000000,10939966484.0,5718,India,Music,279500.0,2389750.0,4500000.0
Ultra Movie Parlour,22900000,5320485069.0,1670,India,Film,0.0,0.0,0.0
Alan Becker,22900000,5380073627.0,0,United States,Games,0.0,0.0,0.0
toyorbabytv,22900000,16298342829.0,1159,Jordan,Music,507200.0,4303600.0,8100000.0
BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,13206471140.0,1251,Mexico,Education,410500.0,3505250.0,6600000.0
KL BRO Biju Rithvik,22800000,17988347989.0,1841,Unknown,Entertainment,6100000.0,51850000.0,97600000.0
Vania Mania Kids,22700000,10115316784.0,985,United States,Education,465600.0,3982800.0,7500000.0
Like Nastya PRT,22700000,11568118121.0,654,Unknown,Entertainment,289800.0,2444900.0,4600000.0
Sun TV,22600000,20847038152.0,60964,India,Entertainment,2900000.0,25000000.0,47100000.0
Heroindori,22600000,9223534599.0,495,India,Entertainment,1200000.0,10200000.0,19200000.0
The Chainsmokers,22600000,14231943358.0,180,United States,Music,245000.0,2072500.0,3900000.0
mmoshaya,22600000,17507060680.0,1189,Saudi Arabia,Entertainment,221500.0,1860750.0,3500000.0
Sia,22600000,13405849040.0,171,United States,Music,285800.0,2442900.0,4600000.0
LeoNata Family,22600000,27084848152.0,2321,United States,People,3500000.0,29900000.0,56300000.0
Goldmines Cineplex,22500000,2431154438.0,3377,India,Film,146200.0,1223100.0,2300000.0
Vlad and Niki Arabic,22500000,10613701948.0,526,United States,Entertainment,195200.0,1647600.0,3100000.0
SSundee,22500000,13835173331.0,3315,United States,Games,525300.0,4462650.0,8400000.0
Paulo Londra,22400000,8040036209.0,58,Argentina,Music,216700.0,1858350.0,3500000.0
Smile Family,22300000,8663830163.0,34,France,Music,2.0,18.5,35.0
FGTeeV,22300000,24059336857.0,1724,United States,Games,396300.0,3348150.0,6300000.0
Kinder Spielzeug Kanal (Kidibli),22200000,11136266461.0,999,United States,Entertainment,418000.0,3559000.0,6700000.0
Charlie Puth,22000000,9924807127.0,157,United States,Music,334500.0,2867250.0,5400000.0
Vlad and Niki ESP,22000000,8594440895.0,515,United States,Entertainment,551600.0,4675800.0,8800000.0
Sagawa /ï¿½ï¿½ï¿½,22000000,18347969186.0,6274,Japan,Entertainment,2100000.0,18100000.0,34100000.0
Ben Azelart,21900000,4454917643.0,301,United States,Entertainment,554800.0,4727400.0,8900000.0
Zach Choi ASMR,21900000,5918314128.0,946,United States,People,702700.0,5951350.0,11200000.0
Topper Guild,21900000,15552070846.0,816,United States,Comedy,2100000.0,17550000.0,33000000.0
Disney Latinoamï¿½ï¿½,21900000,20657571751.0,116,Mexico,Music,14.0,120.5,227.0
Stokes Twins,21800000,4469711607.0,257,United States,People,593900.0,5046950.0,9500000.0
National Geographic,21800000,5614621131.0,10162,United States,Entertainment,137400.0,1168700.0,2200000.0
Dua Lipa,21800000,11288359365.0,164,United Kingdom,Music,384100.0,3242050.0,6100000.0
OneDirectionVEVO,21800000,12140232004.0,266,United Kingdom,Music,153400.0,1326700.0,2500000.0
Rotana,21800000,19329351143.0,135,Unknown,Music,32.0,269.5,507.0
Netflix India,21800000,7780934187.0,1,Unknown,People,0.0,0.0,0.0
Sourav Joshi Vlogs,21700000,9392093496.0,1390,Unknown,People,796000.0,6748000.0,12700000.0
ZAMZAM ELECTRONICS TRADING,21700000,8507818877.0,15126,United Arab Emirates,People,4800000.0,40750000.0,76700000.0
DUDU e CAROL,21600000,9597894786.0,2942,Brazil,Entertainment,579500.0,4939750.0,9300000.0
Village Cooking Channel,21600000,5863377051.0,219,India,Howto,583800.0,4941900.0,9300000.0
Eva Bravo Play,21600000,9346383505.0,228,United States,Entertainment,191800.0,1645900.0,3100000.0
Tekashi 6ix9ine,21500000,5890180734.0,51,United States,Music,340600.0,2870300.0,5400000.0
Tlnovelas,21500000,15013096899.0,158,Mexico,Entertainment,46.0,394.0,742.0
SMOL,21500000,22065582014.0,6,Unknown,Music,0.01,0.07500000000000001,0.14
invictor,21500000,8409641722.0,17,Chile,People,0.15,1.075,2.0
YOLO,21400000,1573058816.0,0,Germany,,0.0,0.0,0.0
Sidhu Moose Wala,21400000,6264261757.0,114,India,Music,482100.0,4091050.0,7700000.0
The Royalty Family,21300000,6269945014.0,733,United States,People,480700.0,4090350.0,7700000.0
Becky G,21300000,10644857969.0,78,United States,Music,309500.0,2654750.0,5000000.0
Ishaan Ali 11,21300000,12761253839.0,951,India,People,2200000.0,18600000.0,35000000.0
Infinite,21300000,5141834668.0,1608,United States,Entertainment,205100.0,1752550.0,3300000.0
Azhan5star,21300000,10047736580.0,669,India,Entertainment,708900.0,6004450.0,11300000.0
Dangal TV Channel,21300000,12895427184.0,20225,India,Entertainment,1700000.0,14300000.0,26900000.0
Khan GS Research Centre,21200000,2073073070.0,1,Unknown,People,0.0,0.0,0.0
GMA Public  Affairs,21200000,11364908616.0,31989,Philippines,News,427000.0,3613500.0,6800000.0
Tasty,21100000,5783557209.0,4728,United States,Howto,74100.0,637050.0,1200000.0
Baim Paula,21100000,4526271677.0,2325,Indonesia,Entertainment,80900.0,690450.0,1300000.0
nigahiga,21000000,4380564906.0,403,United States,Entertainment,7400.0,63150.0,118900.0
Rafa & Luiz,21000000,7762905663.0,2883,Brazil,Entertainment,355200.0,3027600.0,5700000.0
Lyrical Lemonade,21000000,10631638628.0,420,United States,Entertainment,240200.0,2020100.0,3800000.0
Vlad and Niki IDN,21000000,9789121606.0,498,United States,Entertainment,400100.0,3400050.0,6400000.0
Dr. Vivek Bindra: Motivational Speaker,20900000,1693149479.0,896,India,Education,85800.0,742900.0,1400000.0
Fatos Desconhecidos,20900000,3828000587.0,6262,Brazil,Entertainment,157000.0,1328500.0,2500000.0
Brave Wilderness,20900000,4927879069.0,982,United States,Animals,0.0,0.0,0.0
LIV Crime,20900000,11058049885.0,9850,United States,People,1200000.0,9800000.0,18400000.0
Minecraft - Topic,20900000,0.0,0,Unknown,Games,0.0,0.0,0.0
Romeo Santos,20900000,17324976752.0,6,United States,Music,0.3,2.65,5.0
Canal Canalha,20800000,1870608170.0,288,Brazil,Comedy,71700.0,585850.0,1100000.0
Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,20800000,2378448129.0,193,Germany,Education,87800.0,743900.0,1400000.0
Yoeslan,20700000,17963202261.0,619,United States,Entertainment,2600000.0,22300000.0,42000000.0
5-Minute Crafts DIY,20700000,5091618606.0,5062,United States,Howto,60000.0,510300.0,960600.0
Zach King,20700000,5410164682.0,6,Unknown,Entertainment,0.38,3.19,6.0
tuzelity SHUFFLE,20700000,8658941531.0,889,Russia,People,1700000.0,14100000.0,26500000.0
NBA,20700000,12624879732.0,47926,United States,Sports,219100.0,1859550.0,3500000.0
Deddy Corbuzier,20600000,4956090094.0,15,Indonesia,Entertainment,0.26,2.13,4.0
Bizarrap,20600000,7657171980.0,83,Argentina,Entertainment,579500.0,4939750.0,9300000.0
Avicii,20600000,10292874715.0,156,Sweden,Music,243700.0,2071850.0,3900000.0
Mnet K-POP,20500000,15038593883.0,33229,South Korea,Entertainment,475600.0,4037800.0,7600000.0
LazarBeam,20500000,8768697257.0,1323,Australia,Games,78200.0,689100.0,1300000.0
Ninja Kidz TV,20500000,11009148579.0,296,United States,Entertainment,585600.0,4992800.0,9400000.0
Totoy kids - Portuguï¿½,20400000,1796227417.0,206,Brazil,Film,118500.0,1009250.0,1900000.0
Jake Paul,20400000,7311322368.0,1006,United States,People,43900.0,373450.0,703000.0
Linkin Park,20400000,13397000296.0,0,Afghanistan,Games,0.0,0.0,0.0
Vijay Television,20400000,29406206620.0,51515,India,Entertainment,2700000.0,23150000.0,43600000.0
SlivkiShow,20400000,4707412332.0,462,Ukraine,Entertainment,87000.0,743500.0,1400000.0
Emiway Bantai,20400000,3579555124.0,239,India,Music,123900.0,1061950.0,2000000.0
Got Talent Global,20300000,2441288701.0,1245,United Kingdom,Entertainment,259400.0,2179700.0,4100000.0
ýýýýýýýýýýýýýýý - Genevieve's Playhouse,20300000,11022391339.0,107,Unknown,Education,215300.0,1807650.0,3400000.0
BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552.0,875,Indonesia,Education,338300.0,2869150.0,5400000.0
Ami Rodriguez,20200000,2951914200.0,460,Colombia,Entertainment,791600.0,6745800.0,12700000.0
Noor Stars,20200000,2764127969.0,693,United Arab Emirates,Entertainment,46700.0,396700.0,746700.0
Family GamesTV,20200000,7066711323.0,0,Unknown,Games,0.0,0.0,0.0
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246.0,226,India,Education,340300.0,2870150.0,5400000.0
dednahype,20200000,20919403720.0,1935,Latvia,Comedy,3700000.0,31750000.0,59800000.0
Marta and Rustam,20200000,19694265358.0,761,United States,Comedy,1400000.0,11550000.0,21700000.0
MiawAug,20200000,6098644584.0,3713,Indonesia,Games,193500.0,1646750.0,3100000.0
CookieSwirlC,20100000,23353115850.0,3774,United States,Games,665100.0,5632550.0,10600000.0
Skrillex,20100000,6618524158.0,241,United States,Music,75800.0,637900.0,1200000.0
AuthenticGames,20100000,8920141342.0,4974,Brazil,Games,16300.0,138250.0,260200.0
Robin Hood Gamer,20100000,10366850490.0,0,Unknown,Games,0.0,0.0,0.0
Pencilmation,20100000,11317309935.0,1481,United States,Entertainment,44600.0,379000.0,713400.0
7clouds,20100000,14816075927.0,2384,United States,Music,830300.0,7065150.0,13300000.0
5-Minute Crafts PLAY,20100000,6119294270.0,5491,United States,Howto,317400.0,2708700.0,5100000.0
Marvel Entertainment,20100000,5634695322.0,1,United States,Film,0.19,1.595,3.0
BuzzFeedVideo,20100000,17913237851.0,7737,United States,People,27300.0,232350.0,437400.0
REACT,20000000,13154314376.0,4339,United States,Entertainment,69600.0,584800.0,1100000.0
Vevo,20000000,559765455.0,1527,United States,Music,4000.0,33950.0,63900.0
Gordon Ramsay,20000000,3875172235.0,1527,United Kingdom,Entertainment,117700.0,1008850.0,1900000.0
Pentatonix,20000000,6033295543.0,1,Canada,Entertainment,0.0,0.0,0.0
Green Gold TV - Official Channel,20000000,9715291883.0,1476,India,Entertainment,0.0,0.0,0.0
Gusttavo Lima Oficial,19900000,13917423958.0,416,Brazil,Music,644400.0,5472200.0,10300000.0
HaerteTest,19800000,3234880084.0,1411,Germany,Tech,17000.0,144100.0,271200.0
Crafty Panda,19800000,5759442450.0,760,United States,Entertainment,18400.0,156500.0,294600.0
SOMOY TV,19800000,12293479945.0,9930,United States,News,49.0,414.0,779.0
JennaMarbles,19700000,1803249241.0,250,United States,Comedy,11300.0,96100.0,180900.0
Troom Troom Es,19700000,7452667615.0,2912,Unknown,Howto,88200.0,744100.0,1400000.0
Official Pink Panther,19700000,10955619815.0,1,United States,Games,0.0,0.0,0.0
Britain's Got Talent,19700000,11323617496.0,4225,United Kingdom,Entertainment,162600.0,1381300.0,2600000.0
SCTV,19700000,9808676159.0,267,United Kingdom,Music,1.0,8.5,16.0
AS Gaming,19600000,2851024430.0,17,United States,Games,0.07,0.535,1.0
Sony AATH,19600000,13930021471.0,18661,United States,Entertainment,822600.0,7011300.0,13200000.0
tabii Urdu,19600000,8779729549.0,1306,Turkey,Entertainment,332400.0,2816200.0,5300000.0
DaFuq!?Boom!,19600000,7906181776.0,214,United States,Entertainment,6900000.0,58750000.0,110600000.0
Clash of Clans,19600000,3961318438.0,674,United States,Games,66900.0,583450.0,1100000.0
RKD Studios,19500000,5234251168.0,847,India,Entertainment,0.0,0.0,0.0
DLS News,19400000,2255542592.0,4750,India,News,96300.0,798150.0,1500000.0
JukiLop,19400000,1577859332.0,85,Mexico,People,7100.0,60700.0,114300.0
etvteluguindia,19400000,23038014291.0,125974,India,Entertainment,818800.0,6959400.0,13100000.0
FIFA,19400000,5529131886.0,10728,Switzerland,Sports,176600.0,1488300.0,2800000.0
Manoj  parihar,19300000,264228052.0,335,India,Howto,111500.0,955750.0,1800000.0
Vsauce,19300000,2897907132.0,462,Unknown,Entertainment,208800.0,1754400.0,3300000.0
Unbox Therapy,19300000,4508184467.0,2175,Unknown,Tech,50200.0,426350.0,802500.0
shane,19200000,4329121104.0,570,United States,Comedy,8200.0,69650.0,131100.0
Sonotek,19200000,7590582024.0,8285,India,Music,86000.0,743000.0,1400000.0
Jimmy Kimmel Live,19100000,13124645973.0,6526,United States,Comedy,51700.0,439650.0,827600.0
TheOdd1sOut,19100000,4566120190.0,139,United States,Comedy,93000.0,796500.0,1500000.0
Goldmines Great Indian Comedy,19100000,5194942269.0,2948,Unknown,Film,197800.0,1698900.0,3200000.0
Lil Nas X,19100000,6339584661.0,37,Unknown,Music,138600.0,1169300.0,2200000.0
ýýýýýýýýýýýýýý ýýýý,19000000,4924054368.0,60,United States,Entertainment,64800.0,532400.0,1000000.0
SUPER SLICK SLIME SAM,19000000,7229175322.0,903,Mexico,Howto,370000.0,3135000.0,5900000.0
Wow Kidz Action,19000000,8281724393.0,1525,India,Entertainment,317100.0,2708550.0,5100000.0
Turma da Mï¿½ï¿½,19000000,13824277846.0,1154,Brazil,Film,230700.0,1965350.0,3700000.0
Calvin Harris,19000000,16014044618.0,79,United Kingdom,Music,307200.0,2603600.0,4900000.0
KBS WORLD TV,19000000,15126092508.0,64496,South Korea,Entertainment,324000.0,2762000.0,5200000.0
HiMan,18900000,2855519150.0,375,Russia,Entertainment,73700.0,636850.0,1200000.0
Masha e o Urso,18900000,8301731337.0,0,Unknown,,0.0,0.0,0.0
Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18900000,9813245108.0,719,Mexico,Education,421200.0,3560600.0,6700000.0
TED-Ed,18800000,3654621568.0,2072,United States,Education,89600.0,744800.0,1400000.0
Sidemen,18800000,5257834105.0,312,United Kingdom,Entertainment,234500.0,2017250.0,3800000.0
Cardi B,18800000,7634430188.0,9,Unknown,,0.02,0.18000000000000002,0.34
Busy Fun Ltd,18800000,7762077012.0,2,Unknown,,0.0,0.0,0.0
Farruko,18800000,9573641299.0,217,United States,Music,293300.0,2496650.0,4700000.0
ýýýýýýýýýýýýýýýýýýýýýý,18800000,9594188708.0,530,Ukraine,Entertainment,204000.0,1752000.0,3300000.0
Triggered Insaan,18800000,3276891538.0,304,India,People,327100.0,2763550.0,5200000.0
CKN,18700000,12295637162.0,16,Spain,Music,0.31,2.655,5.0
Ali-A,18700000,6148303268.0,2,Unknown,People,0.0,0.025,0.05
Shemaroo Comedy,18600000,6047584292.0,4487,India,Comedy,307300.0,2603650.0,4900000.0
Smile Family Spanish,18600000,7008250496.0,457,United States,Entertainment,130200.0,1115100.0,2100000.0
GRAMMY GOLD OFFICIAL,18600000,20196704276.0,6287,Thailand,Music,505800.0,4302900.0,8100000.0
ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,18600000,8761255550.0,6289,Saudi Arabia,Games,129000.0,1114500.0,2100000.0
Dan-Sa / Daniel Saboya,18500000,2908120896.0,1329,Brazil,Music,0.0,0.0,0.0
Marmok,18500000,3457618361.0,374,Russia,Games,114800.0,957400.0,1800000.0
The ACE Family,18500000,4558380251.0,712,Unknown,People,8500.0,72300.0,136100.0
Like Nastya Vlog,18500000,8147575884.0,493,Russia,People,146800.0,1223400.0,2300000.0
Willie Salim,18500000,4051072188.0,679,Indonesia,People,592100.0,5046050.0,9500000.0
PDK Films,18400000,4120324310.0,111,United States,Entertainment,43300.0,367950.0,692600.0
TheWillyrex,18400000,7038827526.0,6943,Spain,Games,33000.0,280600.0,528200.0
RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18400000,11544297793.0,3159,Thailand,Music,162400.0,1381200.0,2600000.0
Dhar Mann,18400000,11280732382.0,0,Unknown,,0.0,0.0,0.0
shakiraVEVO,18400000,25367126292.0,197,United States,Music,801400.0,6800700.0,12800000.0
Naisa Alifia Yuriza (N.A.Y),18300000,1606834186.0,786,Indonesia,Entertainment,51200.0,435100.0,819000.0
Miley Cyrus,18300000,7760819588.0,142,United States,Entertainment,383900.0,3241950.0,6100000.0
IShowSpeed,18300000,1556003039.0,1324,United States,Games,420800.0,3560400.0,6700000.0
Good Mythical Morning,18300000,8798044678.0,0,Unknown,,0.0,0.0,0.0
Bobby chourasiya,18200000,9937823152.0,442,Unknown,People,1400000.0,11950000.0,22500000.0
INCRï¿½ï¿,18200000,3213324455.0,6903,Brazil,Howto,54100.0,460150.0,866200.0
Jake Fellman,18100000,13378360425.0,420,United States,Entertainment,1500000.0,12700000.0,23900000.0
GEN HALILINTAR,18100000,3306242674.0,1037,Indonesia,Entertainment,81900.0,690950.0,1300000.0
SQUEEZIE,18100000,9983065083.0,1521,France,Entertainment,144300.0,1222150.0,2300000.0
Blippi - Educational Videos for Kids,18100000,14857290259.0,707,United States,Education,541200.0,4620600.0,8700000.0
officialpsy,18100000,10703830496.0,131,South Korea,Music,195000.0,1647500.0,3100000.0
Ajay Sharma,18100000,12249828886.0,0,Unknown,,0.0,0.0,0.0
Manual do Mundo,18000000,3980991248.0,2470,Brazil,Tech,164300.0,1382150.0,2600000.0
How Ridiculous,18000000,9601137077.0,650,Australia,Sports,1200000.0,10000000.0,18800000.0
And TV,18000000,15412333005.0,45,United States,Entertainment,0.01,0.1,0.19
Sebastiï¿½ï¿½ï¿½,18000000,10463166404.0,237,United States,Music,332300.0,2816150.0,5300000.0
SonyMusicSouthVEVO,18000000,17921124985.0,5692,United States,Music,772800.0,6586400.0,12400000.0
TheGrefg,18000000,6404852037.0,3566,Spain,Games,131500.0,1115750.0,2100000.0
BeatboxJCOP,18000000,8716982055.0,748,Unknown,Entertainment,4100000.0,35050000.0,66000000.0
David Dobrik,17900000,7176572299.0,536,United States,People,26000.0,220600.0,415200.0
KatieAngel,17900000,3841205465.0,982,United States,Music,155100.0,1327550.0,2500000.0
RobleisIUTU,17900000,5168721499.0,1344,Argentina,Games,82600.0,691300.0,1300000.0
Lele Pons,17900000,5244917119.0,185,United States,Entertainment,55600.0,472950.0,890300.0
Demi Lovato,17900000,6888074944.0,314,United States,Music,87500.0,743750.0,1400000.0
Like Nastya VNM,17900000,9867515979.0,602,Vietnam,Entertainment,253400.0,2176700.0,4100000.0
Jason Derulo,17900000,9887116267.0,830,United States,Music,1300000.0,11400000.0,21500000.0
MGC Playhouse,17900000,16174530046.0,1426,United States,Education,307900.0,2603950.0,4900000.0
Zuni and Family,17900000,6746269458.0,2,Unknown,People,0.01,0.1,0.19
Priyal Kukreja,17800000,11057945183.0,772,India,People,1300000.0,11000000.0,20700000.0
MSA previously My Story Animated,17800000,8588704539.0,26,United States,People,62.0,528.0,994.0
ýýýýýýýýý KIMPRO,17700000,19206701832.0,1646,South Korea,People,10200000.0,86800000.0,163400000.0
Jane ASMR ï¿½ï¿½,17700000,7387621644.0,1888,South Korea,People,0.0,0.0,0.0
ArianaGrandeVevo,17700000,20115544708.0,178,United States,Music,292300.0,2496150.0,4700000.0
jaanvi patel,17700000,7912733203.0,512,India,People,1000000.0,8800000.0,16600000.0
tanboy kun,17700000,3647267655.0,739,Indonesia,Entertainment,144500.0,1222250.0,2300000.0
Lil Pump,17700000,4196061192.0,60,Unknown,Music,0.0,0.0,0.0
Porta dos Fundos,17700000,7739048000.0,2240,Brazil,Entertainment,106000.0,903000.0,1700000.0
News 24,17700000,8396875537.0,211620,Ukraine,News,1100000.0,9450000.0,17800000.0
Les' Copaque Production,17700000,9059696049.0,1716,Malaysia,Entertainment,353200.0,3026600.0,5700000.0
El Payaso Plim Plim,17700000,17247584185.0,1316,Argentina,Music,1900000.0,16300000.0,30700000.0
zbing z.,17600000,9269174070.0,3151,Thailand,Games,165400.0,1382700.0,2600000.0
MissaSinfonia,17600000,2274007523.0,233,Mexico,Comedy,82300.0,691150.0,1300000.0
ýýýýýýýýý Liziqi,17600000,2977741577.0,128,China,Howto,67100.0,583550.0,1100000.0
The Game Theorists,17600000,3752347262.0,0,Australia,,0.0,0.0,0.0
DeGoBooM,17600000,6306204566.0,4702,Chile,Games,300600.0,2550300.0,4800000.0
JFlaMusic,17600000,3802280098.0,326,South Korea,Music,33300.0,283000.0,532700.0
FactTechz,17500000,2238134438.0,709,India,Entertainment,63200.0,531600.0,1000000.0
News18 India,17500000,7263619576.0,182742,India,News,1200000.0,10050000.0,18900000.0
Fun For Kids TV - Hindi Rhymes,17500000,7612385622.0,149,India,Entertainment,329500.0,2814750.0,5300000.0
IGN,17500000,16107116549.0,156215,United States,Games,295000.0,2497500.0,4700000.0
Aphmau,17400000,17763586483.0,4411,United States,Games,1300000.0,11200000.0,21100000.0
AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,17400000,13043561912.0,118448,Thailand,News,708000.0,6004000.0,11300000.0
ýýýýýýýýýýýýýýýý - Al-Remas,17400000,11144195464.0,2133,Iraq,Music,339000.0,2869500.0,5400000.0
Koray Zeynep,17400000,16560557488.0,2078,Unknown,People,1300000.0,10900000.0,20500000.0
Apple,17300000,1026425106.0,180,United States,Tech,139500.0,1169750.0,2200000.0
Stubborn Facts,17300000,902225615.0,287,India,Entertainment,2500.0,21350.0,40200.0
Taarak Mehta Ka Ooltah Chashmah,17300000,11371738047.0,4778,India,Entertainment,995800.0,8447900.0,15900000.0
HowToBasic,17300000,3684816159.0,582,Australia,Howto,46600.0,395900.0,745200.0
PopularMMOs,17200000,14573155899.0,4685,Unknown,Games,45900.0,390050.0,734200.0
Marques Brownlee,17200000,3606912471.0,1567,United States,Tech,157000.0,1328500.0,2500000.0
Anitta,17200000,7337212581.0,138,Brazil,Music,218100.0,1859050.0,3500000.0
Jason Vlogs,17200000,8903647480.0,83,Australia,People,0.08,0.54,1.0
El Reino a Jugar,17200000,11445492404.0,1007,Argentina,Education,251100.0,2125550.0,4000000.0
Willyrex,17200000,5024088947.0,7550,Spain,Games,46200.0,392850.0,739500.0
TheBrianMaps,17100000,4448334716.0,498,Russia,Entertainment,111500.0,955750.0,1800000.0
TRANS TV Official,17100000,9710962528.0,148225,Indonesia,Entertainment,137400.0,1168700.0,2200000.0
Liza Koshy,17100000,2173106162.0,142,United States,Entertainment,5300.0,44900.0,84500.0
Queen Official,17000000,10847948832.0,1015,United Kingdom,Music,281300.0,2390650.0,4500000.0
Prajapati News,17000000,1001465469.0,1407,India,Entertainment,22900.0,194500.0,366100.0
Gaby and Alex,17000000,8229883114.0,1,Unknown,People,0.0,0.0,0.0
LuisFonsiVEVO,17000000,14543594822.0,97,United States,Music,149500.0,1274750.0,2400000.0
Pop Chartbusters,16900000,8684010451.0,2235,India,Music,218700.0,1859350.0,3500000.0
Guava Juice,16900000,9111000228.0,1910,United States,Entertainment,32700.0,277650.0,522600.0
EeOneGuy,16900000,3827906874.0,366,United States,Entertainment,4900.0,41700.0,78500.0
VICE,16900000,4609753237.0,3900,United States,Entertainment,109100.0,904550.0,1700000.0
Aayu and Pihu Show,16900000,9270331567.0,441,India,People,269300.0,2284650.0,4300000.0
Danny Fitt,16900000,9544277833.0,2337,United States,Entertainment,825800.0,7012900.0,13200000.0
Bispo Bruno Leonardo,16900000,3523578665.0,4891,Brazil,Nonprofit,448600.0,3824300.0,7200000.0
DeToxoMoroxo,16800000,2315962318.0,1,Unknown,Music,0.0,0.0,0.0
Doggy Doggy Cartoons,16800000,6518418501.0,0,Unknown,,0.0,0.0,0.0
deepesh zo,16800000,7206462713.0,41,Unknown,People,0.0,0.025,0.05
Like Nastya IDN,16800000,7195314800.0,502,Indonesia,Entertainment,128500.0,1114250.0,2100000.0
Gato Galactico | GALï¿½ï¿,16800000,3693798804.0,1491,Brazil,Entertainment,132400.0,1116200.0,2100000.0
Salman Noman,16700000,10393037902.0,3,Unknown,,0.02,0.18000000000000002,0.34
CoryxKenshin,16700000,7102965621.0,1693,United States,Games,315300.0,2657650.0,5000000.0
With Kids[ï¿½ï¿½ï¿½ï¿½ï,16700000,8826138204.0,920,United States,Entertainment,137100.0,1168550.0,2200000.0
Travis Scott,16700000,7979736581.0,13,United States,Music,113.0,956.5,1800.0
Tu COSMOPOLIS,16700000,5089284369.0,8741,Mexico,People,48400.0,411550.0,774700.0
Ivana Alawi,16600000,1318442641.0,180,Philippines,People,45200.0,384500.0,723800.0
Werever2morro,16600000,2798273962.0,0,Mexico,Games,0.0,0.0,0.0
IDEAS EN 5 MINUTOS,16600000,3696973456.0,216,Spain,,196.0,1648.0,3100.0
NMF News,16600000,7435180827.0,112261,India,News,177600.0,1488800.0,2800000.0
SriBalajiMovies,16600000,9439857193.0,20102,India,Entertainment,462100.0,3931050.0,7400000.0
Lahari Music - TSeries,16600000,11946217860.0,8976,India,Music,267000.0,2283500.0,4300000.0
Younes Zarou,16600000,15278668857.0,2200,Germany,Entertainment,1900000.0,15750000.0,29600000.0
Jordan Matter,16600000,5819508534.0,413,United States,Entertainment,597100.0,5098550.0,9600000.0
ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,16500000,2440934034.0,421,United States,Entertainment,65900.0,582950.0,1100000.0
FailArmy,16500000,3037260680.0,438,United States,Entertainment,339000.0,2869500.0,5400000.0
BBC News Hindi,16500000,7043235131.0,21243,India,News,393600.0,3346800.0,6300000.0
FunFun Toy Doll TV,16500000,7406207930.0,735,United States,Entertainment,73100.0,636550.0,1200000.0
Sandra Cires Art,16400000,3955426159.0,1091,United States,Entertainment,54100.0,459700.0,865300.0
Kaykai Salaider,16400000,4434679706.0,428,Thailand,Entertainment,28000.0,238200.0,448400.0
UFC - Ultimate Fighting Championship,16400000,7135820721.0,14662,United States,Sports,399600.0,3399800.0,6400000.0
Ch7HD,16400000,9463244435.0,56203,Thailand,Entertainment,263300.0,2231650.0,4200000.0
RCTI - LAYAR DRAMA INDONESIA,16400000,13478392540.0,1,Unknown,People,0.0,0.0,0.0
Alfredo Larin,16400000,14431830557.0,1,Unknown,Entertainment,0.0,0.025,0.05
GMMTV OFFICIALï¿½ï¿½,16400000,12844432341.0,23952,Thailand,Entertainment,544100.0,4622050.0,8700000.0
Matt Stonie,16300000,3527627264.0,54,United States,Entertainment,89.0,744.5,1400.0
Boyce Avenue,16300000,6578828147.0,490,United States,Music,86400.0,743200.0,1400000.0
Camila Cabello,16300000,6613422635.0,80,United States,Music,128100.0,1064050.0,2000000.0
Little Mix,16300000,7520242626.0,278,United Kingdom,Music,115800.0,1007900.0,1900000.0
SAM SMITH,16300000,10170264839.0,230,United Kingdom,Entertainment,257300.0,2178650.0,4100000.0
Pitbull,16300000,12475714382.0,352,United States,Music,264000.0,2232000.0,4200000.0
Bollywood Classics,16300000,7141825267.0,1444,India,Music,454400.0,3877200.0,7300000.0
Technoblade,16300000,1656452554.0,989,United States,Games,53800.0,457550.0,861300.0
W2S,16300000,4768370464.0,652,United Kingdom,Entertainment,9200.0,78500.0,147800.0
Jennifer Lopez,16200000,10227242833.0,258,United States,Music,190300.0,1595150.0,3000000.0
Kids Play,16200000,8091706232.0,593,United States,Entertainment,77700.0,638850.0,1200000.0
